company_ID,company_name,company_pic,company_address,company_email,company_field,company_Phone,company_size,training_price,group,training_location,training_date,training_topic,training_field,training_type,order_history,improved_abilities,training_materials_quality,trainer_satisfaction_level,facility,satisfaction_level,continuity,likelihood_of_recommendation
10,PD Hardiansyah,Bagas Tampubolon,"Jl. HOS. Cokroaminoto No. 542
Ambon, BA 96093",mariadi53@example.org,Aktivitas Jasa Lainnya,+62-0368-586-5071,Besar,400000,Group,"07005 Payne Well
New Sharonmouth, MI 85058",2023-11-09,"Design Thinking: Creating Innovative Product, Excellent Services and Powerful Selling",Sales & Marketing,Online Training,5,67,1,6,8,5.0,no,45.285714285714285
11,UD Halim Utami Tbk,dr. Diana Prasasta,"Gg. Dipatiukur No. 4
Tangerang Selatan, SR 04630",firgantoroolga@example.net,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62 (32) 077 3858,Kecil,500000,Group,"60255 Elizabeth Route
Lake Isaiah, MN 86350",2023-12-08,Enterprise Solution Selling,Sales & Marketing,Online Training,5,23,4,3,8,5.0,no,39.0
12,Perum Samosir Tbk,Ir. Hasna Melani,"Jl. Kutisari Selatan No. 886
Ambon, Nusa Tenggara Barat 83859",kajen25@example.net,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,+62 (82) 621 4511,Menengah,400000,Retail,"06084 Amy Vista
West Dustin, OK 47351",2023-11-08,Powerful Closing Technique Using Psychological Story Telling,Sales & Marketing,Online Training,3,84,10,7,5,7.333333333333333,yes,60.2312925170068
13,Perum Kusmawati,"dr. Mumpuni Ardianto, S.IP","Gang R.E Martadinata No. 20
Kota Administrasi Jakarta Barat, Kepulauan Bangka Belitung 00215",putracahyanto@example.com,Real Estat,+62-535-804-0051,Besar,900000,Retail,"40823 Leach Hills
Lake Ralphfort, LA 73136",2023-12-21,Professional Telesales & Telemarketing,Sales & Marketing,Online Training,5,60,1,5,7,4.333333333333333,no,40.476190476190474
14,PT Aryani (Persero) Tbk,Daru Handayani,"Jl. Soekarno Hatta No. 2
Surakarta, Nusa Tenggara Barat 10208",putrisalahudin@example.org,"Aktivitas Profesional, Ilmiah Dan Teknis",(059) 556 9106,Kecil,600000,Retail,"8891 Jonathan Mission
Bradleyburgh, KY 20683",2023-11-24,Sales Oriented - Customer Service,Sales & Marketing,Online Training,8,29,9,7,10,8.666666666666666,no,65.09523809523809
15,PT Namaga,Sidiq Natsir,"Jalan Suryakencana No. 14
Kediri, GO 87494",ylaksmiwati@example.com,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,+62 (29) 871 2358,Kecil,900000,Retail,"PSC 3030, Box 0298
APO AA 50851",2023-11-09,Sales Performance Improvement For Extraordinary Result,Sales & Marketing,Online Training,5,98,1,7,6,4.666666666666667,no,47.8095238095238
16,CV Waluyo,Ratna Mandala,"Gg. PHH. Mustofa No. 38
Cirebon, Lampung 01459",fitria28@example.net,Pengangkutan dan Pergudangan,(0023) 376-0120,Kecil,600000,Retail,"USS Price
FPO AA 85801",2023-11-14,Experiential Marketing Strategy & Tactics,Sales & Marketing,Online Training,6,52,6,3,5,4.666666666666667,no,42.666666666666664
17,CV Hastuti Setiawan,Darmana Nashiruddin,"Jalan Suniaraja No. 8
Samarinda, KT 93179",firmansyahanastasia@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62 (0768) 456-4641,Kecil,800000,Retail,"6433 Sean Ford
Brucemouth, VI 57837",2023-12-17,Teknik Penjualan Aset Kredit Bermasalah,Sales & Marketing,Online Training,6,60,7,10,10,9.0,no,68.57142857142857
18,PT Namaga,"R. Bajragin Yolanda, S.E.I","Gang Moch. Toha No. 17
Bima, JI 16961",napitupuluibun@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,(0356) 958 7555,Besar,500000,Group,"51152 Lopez Villages Apt. 348
Monteston, WY 85383",2023-12-19,Teknik Penagihan Era Covid 19 & PJOK 11 (3/2020),Sales & Marketing,Online Training,7,24,10,8,10,9.333333333333334,no,66.76190476190476
19,PT Laksmiwati (Persero) Tbk,"Kiandra Uwais, S.Farm","Gg. Laswi No. 78
Cimahi, KR 05715",swacana@example.org,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,+62-0090-259-3784,Kecil,1000000,Group,"38929 Kelly Wells
Adamberg, WY 01125",2024-01-05,"Mengelola Team Collection Era Covid-19 bagi Manager,Supervisor & Team Leader: Collector Skills Transformation & Team Motivation Charge Up",Sales & Marketing,Online Training,5,56,6,1,10,5.666666666666667,no,47.523809523809526
20,PD Prabowo,Lembah Puspita,"Jl. Gegerkalong Hilir No. 4
Denpasar, JB 99737",taliahandayani@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62 (379) 919 9034,Menengah,500000,Retail,"7474 Hernandez Cove Suite 850
West Roger, PR 99238",2023-12-02,Analisa Kredit Berbasis Laporan Keuangan,Sales & Marketing,Online Training,5,73,1,3,6,3.3333333333333335,no,36.61904761904763
21,PT Kusmawati Hasanah,Jarwadi Damanik,"Jalan Sukajadi No. 90
Banda Aceh, SB 43544",garang25@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (0948) 565 1377,Besar,500000,Group,"PSC 9143, Box 5354
APO AA 59127",2024-01-03,"Antisipasi Pemalsuan Dokumen, Tanda Tangan, dan Mafia Fraud",Sales & Marketing,Online Training,1,41,3,2,4,3.0,no,24.428571428571427
22,UD Permata Firmansyah (Persero) Tbk,Aurora Mardhiyah,"Jalan Monginsidi No. 03
Pasuruan, Gorontalo 87002",jmandasari@example.com,Real Estat,+62 (68) 034-8906,Kecil,1000000,Retail,"7327 Phillip Coves
South Kristina, VA 19449",2023-11-13,Graphonomy & Graphology: Pencegahan Pemalsuan Tanda Tangan & Penipuan Dokumen di Era New Normal,Sales & Marketing,Online Training,2,48,10,9,8,9.0,yes,63.183673469387756
23,CV Riyanti,"H. Panji Nashiruddin, M.M.","Jalan Soekarno Hatta No. 4
Bau-Bau, Jawa Tengah 83494",wibisonolatika@example.com,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,0805677000,Menengah,400000,Group,"114 Jeremy Mountain
Barberside, KY 74944",2023-11-23,Financial Fraud Verification Skill in New Normal and Society 4.0 Era,Sales & Marketing,Online Training,8,60,7,8,6,7.0,yes,62.04081632653061
24,CV Fujiati Rajata (Persero) Tbk,"Ir. Jasmin Setiawan, S.Psi","Gg. BKR No. 3
Palu, Riau 67001",wakiman55@example.org,Industri Pengelahan,+62 (093) 830 3490,Menengah,1000000,Retail,"069 Kelli Prairie Apt. 250
Terryfurt, IN 54403",2023-11-28,Aspek Legal Pembiayaan & Penagihan Kartu Kredit,Sales & Marketing,Online Training,2,88,7,6,8,7.0,no,55.42857142857143
25,PT Yuniar,"Naradi Ardianto, S.Psi","Jalan Erlangga No. 7
Lhokseumawe, Sumatera Barat 92947",saputratalia@example.net,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (078) 712 9496,Menengah,100000,Group,"4804 Charles Turnpike Suite 567
Edwardston, NV 59317",2023-12-16,Antisipasi & Pencegahan Transaksi Pencucian Uang,Sales & Marketing,Online Training,2,39,9,2,1,4.0,no,31.285714285714285
26,CV Nuraini (Persero) Tbk,"Tgk. Maras Jailani, S.I.Kom","Gang Setiabudhi No. 661
Cimahi, Sulawesi Selatan 07629",muhammadwibisono@example.net,Penyediaan Akomodasi Dan Penyediaan Makan Minum,+62 (0283) 157 0499,Kecil,700000,Group,"8094 Green Lock Apt. 762
Leeport, AK 45614",2023-12-19,Soft Skills for Credit Analyst & Surveyor,Sales & Marketing,Online Training,3,72,9,4,1,4.666666666666667,no,41.238095238095234
27,UD Namaga Simbolon Tbk,"Ganep Najmudin, S.T.","Jl. Pelajar Pejuang No. 0
Magelang, Jawa Timur 16594",kardi16@example.net,Real Estat,+62 (540) 961 4753,Besar,800000,Group,"95636 Sean Locks
West Amy, UT 41363",2023-12-04,Advance Commercial Credit Analysis as  a Basis for Business Coach: Credit Skill foundation to Become a Business Coach,Sales & Marketing,Online Training,9,29,4,7,3,4.666666666666667,no,43.66666666666667
28,PT Saputra Sirait,"Sutan Asirwada Hidayanto, M.Farm","Gg. Ahmad Dahlan No. 1
Balikpapan, Sulawesi Barat 16384",irawanvivi@example.net,Kontruksi,+62 (0248) 092 4970,Besar,200000,Group,"268 Jordan Keys
Nathanburgh, FM 24425",2024-01-05,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 1:Business Coach Membuat Bisnis Debitur Sukses dan Sustainable,Sales & Marketing,Online Training,1,30,8,3,2,4.333333333333333,no,30.476190476190474
29,UD Jailani Usada,Yoga Farida,"Gg. Ciumbuleuit No. 5
Sawahlunto, Banten 39063",wsudiati@example.org,Industri Pengelahan,+62 (666) 461 6340,Kecil,700000,Retail,"USCGC Walker
FPO AE 99218",2023-12-14,Advance RM training: RM sebagai Business Coach kepada Debiturnya. Phase 2: Business Coach Membuat Bisnis Debitur menjadi Level Korporat,Sales & Marketing,Online Training,6,40,3,9,8,6.666666666666667,yes,54.421768707483
30,Perum Novitasari,Ani Firgantoro,"Jalan Raya Setiabudhi No. 5
Kota Administrasi Jakarta Selatan, Nusa Tenggara Barat 45776",nrima02@example.com,Aktivitas Jasa Lainnya,084 304 0368,Besar,500000,Retail,"23311 Bell Plaza Suite 717
Georgeberg, FL 45503",2023-12-26,"Fraud Prevention & Handling bagi Pembiayaan Mikro: Identifikasi, Investigasi, Penanganan, Aspek Hukum, Trend dan Metode Terbaru",Sales & Marketing,Online Training,7,100,7,9,1,5.666666666666667,no,56.66666666666667
31,UD Marpaung (Persero) Tbk,dr. Faizah Handayani,"Gg. Waringin No. 7
Samarinda, SN 66368",gaiman63@example.org,"Pengadaan Listrik, Gas, Uap/Air Panas Dan Udara Dingin",+62 (060) 165-3837,Menengah,700000,Group,"Unit 4159 Box 4190
DPO AE 13393",2023-12-15,Collection Recovery Section Head Development Program,Sales & Marketing,Online Training,5,76,8,6,10,8.0,no,63.714285714285715
32,UD Nasyidah Susanti,"drg. Jaiman Prasasta, S.E.","Jl. Gegerkalong Hilir No. 5
Kupang, KT 89023",ngunarto@example.org,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",(0856) 520 6122,Besar,600000,Retail,"29085 Byrd Trail
Joshuafurt, DC 08435",2024-01-05,Collection Target Fixing & Motivation Charge Up,Sales & Marketing,Online Training,3,31,6,7,2,5.0,no,37.285714285714285
33,CV Wacana Nuraini,Fathonah Pranowo,"Jalan Kutisari Selatan No. 5
Banda Aceh, Sulawesi Utara 25267",pujisitorus@example.com,Aktivitas Jasa Lainnya,083 325 1898,Kecil,400000,Group,"91386 David Freeway Apt. 592
Williamsberg, NJ 50484",2024-01-03,Collection Negotiation Intermediate Skills,Sales & Marketing,Online Training,5,79,4,6,2,4.0,no,41.285714285714285
34,Perum Dongoran Siregar (Persero) Tbk,Tantri Nashiruddin,"Gang Ahmad Dahlan No. 4
Sibolga, Maluku Utara 60871",vnatsir@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (26) 678-7351,Kecil,300000,Group,"6664 Robert Field Apt. 319
Williamton, NJ 72770",2023-11-22,Leaders as a Coach & Team Developer in Collection,Sales & Marketing,Online Training,2,78,1,5,7,4.333333333333333,no,38.76190476190476
35,UD Nugroho Uyainah,Cahyadi Wibowo,"Jl. Jayawijaya No. 9
Dumai, Jawa Barat 51915",saiful36@example.net,"Administrasi Pemerintahan, Pertahanan Dan Jaminan Sosial Wajib",+62 (257) 281-3269,Kecil,400000,Group,"26060 Davenport Track Apt. 005
New Rebecca, HI 29017",2023-12-28,"Teknik Penagihan Melibatkan Aspek Hukum (Perdata, Pidana, Pailit, Litigasi, Kepolisian, Menghadapi Pengacara, Penyitaan & Penarikan)",Sales & Marketing,Online Training,1,58,6,10,3,6.333333333333333,no,45.904761904761905
36,UD Najmudin Nainggolan,Julia Rahimah,"Gang Otto Iskandardinata No. 22
Tangerang, Jawa Barat 93347",adikanurdiyanti@example.com,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62 (705) 434 7170,Menengah,500000,Retail,"3393 Chad Courts Suite 439
South Angelahaven, MO 42060",2023-12-21,Developing Performance Based Curriculum Training Program in New Normal Era: Creating-Budgeting-Measuring & Evaluation,Sales & Marketing,Online Training,3,92,4,2,9,5.0,no,46.0
37,Perum Tamba Hidayat Tbk,Rafid Nugroho,"Jalan Cempaka No. 49
Gorontalo, SU 99420",astutijulia@example.org,Pertambangan dan Penggalian,+62 (0847) 112-1435,Kecil,100000,Retail,"1245 Long Mission Suite 896
South Deborah, PR 73426",2023-12-19,Etos Kerja & Profesionalisme,Sales & Marketing,Online Training,6,62,8,10,5,7.666666666666667,yes,63.27891156462585
38,PT Hasanah (Persero) Tbk,Amelia Anggriawan,"Gg. Sukabumi No. 1
Langsa, Kalimantan Timur 97076",zamira49@example.com,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",(0145) 923-6954,Kecil,200000,Retail,"446 Samantha Locks Suite 549
Terranceborough, ME 30061",2023-12-27,"Extraordinary Digital Presentation, Public Speaking & Training Delivery Skills",Sales & Marketing,Online Training,4,79,4,3,6,4.333333333333333,no,41.76190476190476
39,UD Hardiansyah,Ir. Ciaobella Najmudin,"Gang Joyoboyo No. 844
Kota Administrasi Jakarta Timur, Sulawesi Barat 58358",kenzie17@example.com,Aktivitas Rumah Tangga Sebagai Pemberi Kerja; Aktivitas Yang Menghasilkan Barang Dan Jasa Oleh Rumah Tangga yang Digunakan untuk Memenuhi Kebutuhan Sendiri,+62 (364) 946 5157,Besar,200000,Retail,"023 Morgan Junctions
Lake Royview, KY 32660",2023-11-21,Hak dan Kewajiban Pegawai di Era New Normal: Adaptasi Kebijakan Baru pasca Covid 19,Sales & Marketing,Online Training,9,24,3,10,10,7.666666666666667,yes,62.13605442176871
40,Perum Rajata,Cut Keisha Hasanah,"Jalan Kebonjati No. 80
Madiun, ST 95692",lmardhiyah@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,(0707) 958-7574,Besar,200000,Group,"656 Brandy Key
Codyshire, AR 60166",2023-11-26,Mental & Workload Analysis in New Normal Era,Sales & Marketing,Online Training,5,24,7,7,6,6.666666666666667,yes,50.70748299319728
41,CV Zulkarnain Gunarto,Candrakanta Andriani,"Gg. Ciwastra No. 8
Surakarta, YO 22844",jarwadijanuar@example.net,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62-093-713-2529,Kecil,300000,Retail,"5371 Angelica Track Suite 573
Brendachester, OR 35047",2023-12-10,New Requirement for Professional Industrial Relation Officer in New Normal Era,Sales & Marketing,Online Training,5,28,3,8,4,5.0,no,39.714285714285715
42,Perum Rajata Usamah,Belinda Anggraini,"Gg. H.J Maemunah No. 0
Malang, Sulawesi Barat 18470",ypudjiastuti@example.net,Penyediaan Akomodasi Dan Penyediaan Makan Minum,+62-04-476-8469,Kecil,200000,Group,"7959 Harris Garden Suite 912
South Derrickstad, NV 26851",2023-12-02,Persiapan Pra Pensiun,Sales & Marketing,Online Training,8,97,6,2,2,3.3333333333333335,no,44.333333333333336
43,PT Nuraini Tbk,"Dr. Halima Narpati, S.Ked","Gg. M.H Thamrin No. 5
Bandar Lampung, MU 64470",najmudinwulan@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62-74-573-9415,Kecil,700000,Retail,"01315 Carter Turnpike Apt. 759
South Ivan, MT 93303",2023-12-09,Project Management & Assertive User Handling,Sales & Marketing,Online Training,4,23,1,3,1,1.6666666666666667,no,18.523809523809526
44,Perum Wahyuni (Persero) Tbk,Mursinin Kusmawati,"Gang Pelajar Pejuang No. 98
Cimahi, Sulawesi Tengah 34828",kmaulana@example.net,Real Estat,+62 (57) 025 9530,Menengah,500000,Group,"64430 Tina Valleys
Laurieview, MH 33726",2023-12-10,Protokoler & Master of Ceremony era Digital & New Normal,Credit & Collection,Online Training,8,91,2,8,9,6.333333333333333,yes,62.65986394557823
45,UD Rahimah,Harsanto Hidayat,"Jalan Jend. A. Yani No. 0
Kota Administrasi Jakarta Barat, BB 85500",galuh88@example.net,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,(033) 439-6021,Besar,500000,Retail,"585 Donald Trail
Sandraville, IN 52774",2023-12-30,Strategic Partnership - How to Optimize Partnership Efforts for Your Strategic Goals in New Normal Era,Credit & Collection,Online Training,6,52,6,6,8,6.666666666666667,no,54.095238095238095
46,UD Padmasari Puspasari (Persero) Tbk,Yuliana Nurdiyanti,"Jl. Laswi No. 8
Bandung, JI 00927",victoriaanggraini@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",(025) 001 4546,Menengah,800000,Retail,"807 Nash Vista
Davisville, NM 78338",2023-12-18,Understanding Millenials - Managing for High Performance and Engagement,Credit & Collection,Online Training,4,66,8,3,6,5.666666666666667,no,47.523809523809526
47,PD Simbolon Usada,"Puti Wulan Usamah, S.E.","Gang K.H. Wahid Hasyim No. 64
Jambi, JB 23607",kayun35@example.net,Perdagangan Besar Dan Eceran; Reparasi Dan Perawatan Mobil Dan Sepeda Motor,+62-045-531-8742,Besar,700000,Retail,"401 Obrien Light
Susanport, OK 60034",2023-12-20,Competency Based Human Resource Management,Credit & Collection,Online Training,7,70,10,7,7,8.0,no,65.71428571428571
48,CV Hassanah Iswahyudi,Titin Simanjuntak,"Jl. Rungkut Industri No. 20
Bau-Bau, SU 73743",legawautami@example.org,"Aktivitas Penyewaan dan Sewa Guna Usaha Tanpa Hak Opsi, Ketenagakerjaan, Agen Perjalanan dan Penunjang Usaha Lainnya",+62 (868) 478-9527,Besar,300000,Group,"51002 Tucker Hill
South Jessica, AS 30922",2023-11-19,"How To Conduct TNA, Creating Training Material & Measuring Training Effectivity",Credit & Collection,Online Training,2,39,4,9,4,5.666666666666667,no,40.8095238095238
49,UD Wibisono,Raisa Kuswoyo,"Gang Jend. Sudirman No. 4
Bau-Bau, Papua 81138",vickyhalim@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",+62 (079) 574-2540,Besar,200000,Retail,"1000 Robin Fall
Salasshire, LA 74532",2023-11-25,"Business Acumen: Think, Sense & Act like CEO",Credit & Collection,Online Training,2,31,7,6,10,7.666666666666667,no,51.095238095238095
50,UD Astuti Andriani,Puti Rahayu,"Gang Tebet Barat Dalam No. 904
Tasikmalaya, KT 35575",johanhariyah@example.com,"Aktivitas Profesional, Ilmiah Dan Teknis",(0586) 995 2196,Menengah,500000,Group,"USCGC Sheppard
FPO AE 06441",2024-01-03,"How to Recruit, Interview, Select & Place the Right Employee",Credit & Collection,Online Training,7,62,2,8,1,3.6666666666666665,no,39.8095238095238
51,PT Purwanti Hutapea (Persero) Tbk,Galih Prayoga,"Jl. KH Amin Jasuta No. 44
Tanjungbalai, Jawa Tengah 74870",suryatmihesti@example.net,Informasi Dan KomunikasiAktivitas Keuangan dan Asuransi,+62-092-688-3377,Menengah,600000,Group,"33197 Hammond Parkway
North Amandafurt, ME 53893",2023-12-03,Akuntansi dan Keuangan Perbankan bagi Executive Bank,Credit & Collection,Online Training,7,92,9,10,3,7.333333333333333,yes,67.08843537414965
52,PT Rahmawati Hasanah Tbk,Bella Samosir,"Jl. Kutai No. 63
Denpasar, NT 78381",melanipaiman@example.net,Aktivitas Jasa Lainnya,0873036266,Kecil,200000,Retail,"59545 Robinson Harbor Apt. 714
East Margaretfort, DC 01457",2023-12-05,Optimalisasi Aset Tetap Perbankan menuju Revenue & Profit Center,Credit & Collection,Online Training,3,83,9,10,3,7.333333333333333,yes,60.088435374149654
53,CV Susanti Tbk,"Sutan Adikara Prasetyo, S.Sos","Gang Sukajadi No. 59
Cirebon, MU 07908",aswaninasyiah@example.org,Aktivitas Badan Internasional Dan Badan Ekstra Internasional,+62-10-879-0342,Menengah,700000,Retail,"86001 Patricia Cliff Apt. 055
Frenchland, DC 89550",2024-01-04,Risk & Governance in Digital Era,Credit & Collection,Online Training,2,98,1,3,4,2.6666666666666665,no,32.095238095238095
54,PT Wibisono (Persero) Tbk,Ir. Yuni Tampubolon,"Jalan Pasirkoja No. 40
Palembang, Kepulauan Bangka Belitung 19211",xpadmasari@example.net,Aktivitas Jasa Lainnya,+62-96-844-6543,Besar,800000,Retail,"PSC 4921, Box 2171
APO AE 25465",2023-12-13,Risk Analysis: to Reduce Losses and Increase Profits,Credit & Collection,Online Training,4,43,4,7,4,5.0,no,40.42857142857143
55,CV Simanjuntak Mahendra,"Qori Prastuti, S.Psi","Gang Astana Anyar No. 2
Cimahi, MU 45698",prahmawati@example.net,"Aktivitas Profesional, Ilmiah Dan Teknis",(0319) 402 7958,Kecil,700000,Retail,"26436 Sanders Road
Michelebury, WA 21262",2023-12-27,System Application & Technology Knowledge & Skill for Transaction,Credit & Collection,Online Training,3,49,6,8,4,6.0,no,45.57142857142857
56,Perum Wastuti Nasyiah (Persero) Tbk,Wani Salahudin,"Gg. Rumah Sakit No. 234
Tegal, Lampung 76652",marpaungcayadi@example.com,"Treatment Air, Treatment Air Limbah, Treatment dan Pemulihan Material Sampah, dan Aktivitas Remediasi",+62 (045) 892 6030,Besar,200000,Group,"5895 Aaron Haven Apt. 847
North Brianburgh, WV 34953",2023-11-16,"Tax Principles, Practice, & Reporting",Credit & Collection,Online Training,6,52,6,9,1,5.333333333333333,no,46.476190476190474
57,UD Oktaviani Laksmiwati,Ganda Tamba,"Gang Rungkut Industri No. 35
Pontianak, AC 48898",michelle16@example.net,Pertambangan dan Penggalian,+62-772-071-5816,Kecil,100000,Retail,"05121 Krystal Expressway
Weberport, OK 62287",2023-12-11,Financial Credit Rating & Scoring,Credit & Collection,Online Training,4,22,10,10,10,10.0,yes,68.04081632653062
58,Perum Wijaya Damanik Tbk,Cahyono Maulana,"Jl. M.H Thamrin No. 2
Dumai, KI 39937",bakijan06@example.net,"Kesenian, Hiburan Dan Rekreasi",+62-01-811-7393,Kecil,600000,Retail,"9051 Amanda Ridge Suite 197
Johnsonport, VA 37505",2023-12-12,Cash Flow & Credit Management,Credit & Collection,Online Training,5,39,2,6,3,3.6666666666666665,no,33.666666666666664
